Application number,Title,Applicant(s),Inventor(s),Filing date,Application status,
2014101380,SC-MH (The solar cube for micro-grid hub),"TANG, Richard Zhao Kun Mr","TANG, (Richard) Zhao Kun",14/11/2014,GRANTED,
2014101402,A METHOD OF FABRICATING AN EJECTOR FOR A SOLAR ENERGY SYSTEM,Endless Solar Corporation Ltd,"DENNIS, MICHAEL",26/11/2014,GRANTED,
2014101528,AWS SunnyMate is a device used to divert excess solar or wind power that is usually fed into the public grid and use this excess power to heat hot water.,"Falzon, Adam MR","Falzon, Adam",29/12/2014,LAPSED,
2014101550,Solar integrated photoelectric photo-thermal component and solar cogeneration system thereof,"Nantong Xingyun Energy Technology Co.,Ltd.","Zhang, Xingxing; Xu, Ying; Xu, Jihuan",10/06/2014,GRANTED,
2014200011,TROUGH COLLECTOR FOR A SOLAR POWER PLANT,Airlight Energy IP SA,"Pedretti, Andrea",2/01/2014,FILED,
2014200067,A SOLAR PANEL KIT,Brown & Watson International Pty Ltd,"Lee, Sheridan; Banks, Jo; Davies, George",7/01/2014,FILED,
2014200179,A method for processing elongate substrates and a substrate securing apparatus,The Australian National University,"Blakers, Andrew William; Weber, Klaus Johannes; Everett, Vernie Allan",13/01/2014,LAPSED,
2014201662,SOLAR BATTERY-DRIVEN OBJECT DETECTION SYSTEM,"Optex Co., Ltd","Makino, Hiroshi; Hayashide, Koji; Kurata, Mataichi; Ikeda, Hiroyuki",19/03/2014,FILED,
2014202024,Solar thermal air flow heating tube device and solar thermal air flow heating tube system,"Pintar, Marko MR; Zheng, JingJing MS","Pintar, Marko; Zheng, JingJing",10/04/2014,CONVERTED,
2014202942,"SOLAR HEAT COLLECTOR, SOLAR HEAT COLLECTING MULTILAYER SHEET, AND SOLAR HEAT HEATER",Nitto Denko Corporation,"MINE, Keita; OHMORI, Yutaka",30/05/2014,FILED,
2014203921,Systems and methods for selectively producing steam from solar collectors and heaters for processes including enhanced oil recovery,"Glasspoint Solar, Inc.","O'Donnell, John Setel; Von Behrens, Peter Emery; Nady, Andras; Heisler, Stuart M.",6/01/2014,GRANTED,
2014204438,Solar heat collector for heating a circulating fluid and process for manufacturing a solar heat collector,Urs FURTER,"FURTER, Urs",16/07/2014,FILED,
2014204746,Cooling system and method for photovoltaic solar panels,"Fernandez De Cordoba Sanz, Fernando","Fernandez De Cordoba Sanz, Fernando",9/01/2014,FILED,
2014207369,Applications of non-intrusive load monitoring and solar energy disaggregation,Bidgely Inc.,"Gupta, Abhay; Garud, Vivek; Mohan, Rahul; Cheng, Hsien-Ting; He, Ye",20/01/2014,FILED,
2014207468,Mechanism for cleaning solar collector surfaces,SunPower Corporation,"Grossman, Marc; Jeanty, Cedric",16/01/2014,FILED,
2014208227,Multi-level solar cell metallization,"Solexel, Inc.","Moslehi, Mehrdad M.; Kapur, Pawan; Kramer, Karl-Josef; Rana, Virenda V.; Seutter, Sean; Deshpande, Anand; Calcaterra, Anthony; Olsen, Gerry; Manteghi, Kamran; Stalcap, Thom; Kamian, George D.; Wang, David Xuan-Qi; Su, Yen-Sheng; Wingert, Michael",30/07/2014,FILED,
2014210668,LINEAR FRESNEL SOLAR ARRAYS AND COMPONENTS THEREFOR,"Areva Solar, Inc.","Mills, David R.; Johnson, Peter L.; Schramek, Phillipp; Degraafe, David B.; Hoermann, Alexander; Johnson, Lars R.",11/08/2014,FILED,
2014212233,Composite roof systems and methods of installation,"Beall, Jerry; Bradenburg, Frank; Seaman Corporation; Solar, Dennis M.","Bradenburg, Frank; Solar, Dennis M.; Beall, Jerry",31/01/2014,FILED,
2014213748,"Tracking photovoltaic solar system, and methods for installing or for using such tracking photovoltaic solar system","HeliosLite; Menard, Etienne","Menard, Etienne",5/02/2014,FILED,
2014214382,"Solar energy automatic soaking and heat-collecting tube, trough-type assembly, and heat power generating system and technique","Zhongying Changjiang International New Energy Investment Co., Ltd.","Chen, Yilong; Yang, Qingping; Zhang, Yanfeng",27/01/2014,FILED,
2014216902,Solar tracking concentrator,"Byunggyun, Kim","Kim, Byunggyun",9/01/2014,FILED,
2014217830,Solar control glazing,AGC Glass Europe,"Mahieu, Stijn; Dusoulier, Laurent",14/02/2014,FILED,
2014218426,A solar array assembly,Laing O'Rourke Australia Pty Ltd,"Lee, Peter Henry",28/08/2014,FILED,
2014220499,A mobile solar power plant,Renovagen Ltd,"Hingley, John",20/02/2014,FILED,
2014221242,HIGH-EFFICIENCY SOLAR CELL STRUCTURES AND METHODS OF MANUFACTURE,"Tetrasun, Inc","Wittman, Oliver; Deceuster, Denis",4/09/2014,GRANTED,
2014221251,Device for supporting a solar panel,Doble Telescopic Lighting Pty Ltd,"Doble, Simon",5/09/2014,FILED,
2014221298,Photo Control Circuit and method for control of a load from two input sources. The two input sources are Grid supplied power and Solar supplied power.,"Wilson, Kevin","Wilson, Kevin",9/09/2014,FILED,
2014223074,An improved solar unit assembly and a method for constructing such an assembly,Alpha-E ApS,"Nielsen, Stig Kejser",24/02/2014,FILED,
2014224159,METHOD AND ARRANGEMENT FOR CONTROLLING A SOLAR POWERED PUMP,ABB Technology Oy,"SYED, Ahmed; PATANGE, Chetan; PANDEY, Deepak; SHENOY, Laxmikantha; LAMMI, Mikko; RAJ, Rahul; RN, Satyan",15/09/2014,GRANTED,
2014226834,Solar panel and timepiece including solar panel,"Casio Computer Co., Ltd.","Saito, Yuta",3/03/2014,FILED,
2014227436,SC-MH (The solar cube for micro-grid hub),"Tang, Richard Z K","Tang, Richard Z.K.",3/07/2014,LAPSED,
2014227635,Integrated solar panel,SunCulture Solar Inc.,"Estes, Christopher",14/03/2014,FILED,
2014233487,Conductivity enhancement of solar cells,SunPower Corporation,"Zhu, Xi",14/03/2014,FILED,
2014233535,Reduced contact resistance and improved lifetime of solar cells,SunPower Corporation,"Zhu, Xi",14/03/2014,FILED,
2014233849,Perylenemonoimide and naphthalenemonoimide derivatives and their use in dye-sensitized solar cells,BASF SE; Max-Planck-Gesellschaft zur Forderung der Wissenschaften E.V.,"Wonneberger, Henrike; Pschirer, Neil Gregory; Benedito, Flavio Luiz; Bruder, Ingmar; Send, Robert; Zagranyarski, Yulian; Li, Chen; Mullen, Klaus; Chen, Long; Skabeev, Artem Nikolaevich",12/03/2014,FILED,
2014233871,Solar collector plant with thermal storage,Stellenbosch University,"Heller, Lukas",17/03/2014,FILED,
2014235104,Solar drive control system for oil pump jacks,"Graybill, Kavan","Graybill, Kavan",13/03/2014,FILED,
2014236652,Methods for improving solar cell lifetime and efficiency,SunPower Corporation,"Westerberg, Staffan; Vicente, Florito Dennis; Cudzinovic, Michael; Tomada, Princess Carmi; Guiao, Jemellee",13/03/2014,FILED,
2014236707,Support for solar energy collection,SunPower Corporation,"Ripoll Agullo, Vicent",13/03/2014,FILED,
2014238823,Solar heat collection system,"Mitsubishi Hitachi Power Systems, Ltd.","Shinozaki, Kohei; Marumoto, Takahiro; Shikata, Tetsuo",5/03/2014,FILED,
2014240305,Swimming pool solar air heating jet venturi,"WANLESS, SCOTT ROSS MR","WANLESS, SCOTT ROSS",3/10/2014,FILED,
2014246591,A NEW METHOD OF HARNESSING SOLAR ENERGY AND OTHER SOURCES OF HIGH NEUTRINO FLUX VIA THE MANUFACTURE OF NEUTRINO CYCLONES AND PRODUCTION OF HYDROGEN GAS,"Hinckfuss, Douglas Albert MR","Hinckfuss, Douglas Albert",10/10/2014,FILED,
2014246775,In-line heated solar thermal storage collector,TIGI LTD.,"Klier, Shimon; Adel, Michael",2/04/2014,FILED,
2014246778,Concentrating central solar receiver,Stellenbosch University,"Kroger, Detlev Gustav",2/04/2014,FILED,
2014249518,Translucent plastic solar thermal collector,"Helios Products, LLC","Luftglass, Murray A.; Dahm, Kevin D.; Gunheim, Clayton C.; Taschek, Louis",7/03/2014,FILED,
2014250780,Solar collector comprising an opaque cover,Sunplate Corporation,"Prutsman, Jeffrey D.; Prutsman, John D.",14/04/2014,FILED,
2014259104,Device for the solar thermal gasification of starting material containing carbon,Holcim Technology Ltd,"Von Zedtwitz, Peter; Wieckert, Christina; Obrist, Albert; Voramwald, Werner",15/04/2014,FILED,
2014261039,System of secondary reflectors with high level of efficiency for storage and use of energy from a solar source,Magaldi Industrie S.r.l.,"Magaldi, Mario",2/05/2014,FILED,
2014264719,Organic-inorganic perovskite based solar cell,Greatcell Solar S.A.,"Qin, Peng; Nazeeruddin, Mohammad Khaja; Cai, Zhihong; Graetzel, Michael",5/05/2014,FILED,
2014265033,TRANSPIRED SOLAR COLLECTOR CHIMNEY TOWER,Hollick Solar Systems Limited,"Hollick, John C.; Eryener, Dogan",19/11/2014,FILED,
2014265905,Single axis solar tracking system,"Array Technologies Patent Holding Co., LLC","Corio, Ronald P.",11/04/2014,FILED,
2014271196,Solar energy collection apparatus and design method,Intex Holdings Pty Ltd,"Davies, Roger Philip",23/05/2014,FILED,
2014272817,Regenerating and/or preventing defects in a solar panel installation,Futech,"Ben-Al-Lal, Ismael; Vangeel, Pieter",21/01/2014,FILED,
2014273409,Solar panel having fire protection,BASF SE,"Bohlander, Ralf",16/05/2014,FILED,
2014274557,An apparatus for collecting solar radiation,K-Hart International Pty Ltd.,"Obeyesekera, Bandu Ranjith Kumara; Obeyesekera, Tanya Garuthma",25/06/2014,ACCEPTED,
2014277610,Solar roof panel,BlueScope Steel Limited,"Ryan, Brad; Clayton, Trevor; Adams, Jamie; Tannahill, Vincent; Klees, Robert",3/06/2014,FILED,
2014279389,"Coating liquid for suppressing deterioration of solar cell, thin film of same, and method for suppressing deterioration of solar cell","Shin-Etsu Chemical Co., Ltd.","Inoue, Tomohiro; Furudate, Manabu; Eguchi, Yoshitsugu; Kobayashi, Takashi",23/05/2014,FILED,
2014283908,"Integrated solar energy drying system collecting, storing and supplying heat","Zhongying Changjiang International New Energy Investment Co., Ltd","Chen, Yilong; Hu, Shuchuan; Zhang, Yanfeng",17/06/2014,FILED,
2014284257,Novel solar autoclave equipment,"Liu, Kai","Liu, Kai",11/02/2014,FILED,
2014286981,Photovoltaic-thermal solar energy collection system with energy storage,"Cogenra Solar, Inc.","Almogy, Gilad; Morad, Ratson; Goodyear, Matthew Dean; Thothadri, Mani",11/07/2014,FILED,
2014289320,Solar collector arrangement,Innovative Motion GmbH,"Leberer, Thomas",8/07/2014,FILED,
2014292323,Solar light management,BASF SE,"Hafner, Andreas; Von Muhlenen, Adrian; Enger, Olivier; Gallinet, Benjamin; Ferrini, Rolando; Marjanovic, Nenad; Stalder, Martin; Basset, Guillaume; Luetolf, Fabian",8/07/2014,FILED,
2014292817,An electricity distribution system and method,Share My Solar Pty Ltd,"Kennedy, John Clare River Gerrard; Bunter, Adrian Maxwell",18/07/2014,FILED,
2014295050,"Method for producing a solar cell, in particular a silicon thin-film solar cell",Lilas GmbH,"Lissotschenko, Vitalij",23/07/2014,FILED,
2014296839,Solar panel mounting system,"IronRidge, Inc.","Patton, John C.; Lindstrom, Todd; Hafter, Eric",10/04/2014,FILED,
2014298329,Three-dimensional thermal or photovoltaic solar panel with integral holograph,"Instituto Holografico Terrasun, S.L.","Calo Lopez, Antonio; Villamarin Villegas, Ayalid Mirlydeth; Rodriguez San Segundo, Hugo Jose",1/08/2014,FILED,
2014301013,Solar protection glazing,AGC Glass Europe,"Mahieu, Stijn; Di Stefano, Gaetan; Hauptmann, Marc; Dumont, Jacques",27/06/2014,FILED,
2014302421,Biochemical energy conversion cell,Bugsy Solar LLC,"Stein, Emily A.",25/06/2014,FILED,
2014305651,Storage of solar energy,Raygen Resources Pty Ltd,"Lasich, John Beavis",7/08/2014,FILED,
2014306944,Solar cell module with high electric susceptibility layer,SunPower Corporation,"Shen, Yu-Chen; Hasselbrink Jr., Ernest; Kavulak, David F. J.",6/08/2014,FILED,
2014307879,Radial p-n junction nanowire solar cells,Norwegian University of Science and Technology,"Lim, Cheng Guan; Weman, Helge",14/08/2014,FILED,
2014309279,Interconnection of solar cells in a solar cell module,SunPower Corporation,"Rim, Seung; Kim, Sung Dug",7/08/2014,FILED,
2014310681,Compounds with terminal heteroarylcyanovinylene groups and their use in organic solar cells,BASF SE,"Sundarraj, Sudhakar; Eickhoff, Christian; Bahulayan, Sheeja; Send, Robert; Nishimae, Yuichi; Reichelt, Helmut; Tanabe, Junichi; Erk, Peter",14/08/2014,FILED,
2014310684,New absorber for organic heterojunction solar cells,BASF SE,"Tanabe, Junichi; Nishimae, Yuichi; Eickhoff, Christian; Erk, Peter; Sens, Rudiger; Send, Robert; Sundarraj, Sudhakar",14/08/2014,FILED,
2014310698,"Photocell, in particular solar cell and method for producing a photocell",NTS Nano TechnologySolar,"Lupaca-Schomber, Jaime; Lupaca-Schomber, Ricardo; Merlein, Joerg Andreas",14/08/2014,FILED,
2014311982,Descent control and energy recovery system for solar panel cleaning system,ECOPPIA SCIENTIFIC LIMITED,"Meller, Moshe; Meller, Eran",9/10/2014,FILED,
2014315406,Systems and methods of generating energy from solar radiation,"Combined Power LLC, dba Hyperlight Energy","King, John D. H.; Kramer, Nicholas A.; Tang, Erik E.; Olsen, Kristofer J.",3/09/2014,FILED,
2014315746,A method for manufacturing a ceramic roof tile provided with a solar panel,ZEP B.V.,"Cornelissen, Johan",8/09/2014,FILED,
2014315995,Solar panel and timepiece including solar panel,"Casio Computer Co., Ltd.","Saito, Yuta",2/09/2014,FILED,
2014317380,Method and device for preventing drying in a boiler of a tower solar concentration plant,Cockerill Maintenance & Ingenierie S.A.,"Dethier, Alfred",18/08/2014,FILED,
2014317914,Localized solar collectors,Massachusetts Institute of Technology,"Ghasemi, Hadi; Marconnet, Amy Marie; Chen, Gang; Ni, George Wei",6/09/2014,FILED,
2014324609,LED-based solar simulator system and method of use,Newport Corporation,"Switzer, Gregory W.; McFarland, Todd A.; Buczala, Robert K.; Rishel, Paul E.; Kuntz, Eugene",27/09/2014,FILED,
2014327036,Metallization of solar cells using metal foils,SunPower Corporation,"Pass, Thomas",22/09/2014,FILED,
2014334804,Biased pawl ratcheting wrench,"IDEAL Industries, Inc.","Solar, Brenton Michael; Stanley, Mark Robert",8/10/2014,FILED,
2014337277,Solar powered sample analyzing system using a field deployed analytical instrumentation and vacuum jacketed small diameter tubing,Mustang Sampling LLC,"Thompson, Kenneth O.; Rolston, Claude A.; Querrey, Timothy; Cook, Charles F.",16/10/2014,FILED,
2014345935,"Reflector for solar thermal systems, and method for producing such a reflector",ThyssenKrupp Steel Europe AG; Thyssenkrupp Rasselstein GmbH,"Schuhmacher, Bernd; Kopplin, Karl-Heinz; Hohn, Winfried; Patberg, Lothar; Hirt, Mark; Drewes, Stephan",7/11/2014,FILED,
2014348297,Solar energy disaggregation techniques for whole-house energy consumption data,Bidgely Inc.,"Mohan, Rahul; Hsien-Teng, Cheng; Gupta, Abhay; He, Ye; Garud, Vivek",17/11/2014,WITHDRAWN,
2014348992,"Solar collection assembly, system, and method","Asm Ip Holdings, LLC","Sanese, Christopher N.",7/11/2014,FILED,
2014352534,Solar integrated photoelectric photo-thermal component and solar cogeneration system thereof,"Nantong Xingyun Energy Technology Co.,Ltd.","Zhang, Xingxing; Xu, Ying; Xu, Jihuan",10/06/2014,CONVERTED,
2014354911,Perovskite and other solar cell materials,"Hunt Energy Enterprises, L.L.C.","Irwin, Michael D.; Chute, Jerred A.",24/11/2014,FILED,
2014355297,Dye-sensitized solar cell,"Ricoh Company, Ltd.","Horiuchi, Tamotsu; Yashiro, Tohru; Segawa, Hiroshi; Uchida, Satoshi",26/11/2014,FILED,
2014364086,Solar cell emitter region fabrication using ion implantation,SunPower Corporation,"Weidman, Timothy; Smith, David D.",8/12/2014,FILED,
2014366256,Solar cell emitter region fabrication with differentiated P-type and N-type region architectures,SunPower Corporation,"Rim, Seung Bum; Smith, David D.; Qiu, Taiqing; Westerberg, Staffan; Tracy, Kieran Mark; Balu, Venkatasubramani",12/12/2014,FILED,
2014369801,Solar vehicle-borne air-conditioning system,"Shanghai Ying Ta Aircondition Enterprise Co., Ltd","Guo, Jincai",4/12/2014,FILED,
2014370205,Improved clamps for solar systems,SunPower Corporation,"Braunstein, Ryan; Kinyon, Zachary; Carre, Guillaume; Matrat, David",15/12/2014,FILED,
2014373642,Vehicle-borne solar cold storage system,"Shanghai Ying Ta Aircondition Enterprise Co., Ltd","Guo, Jincai",26/11/2014,FILED,
2014374232,Sun tracking solar power system hardware and method of assembly,SunPower Corporation,"Wares, Brian S.; Grushkowitz, Tyler; McKibben, Nicholas",16/12/2014,FILED,
2014386719,Mobile device for converting solar energy to electricity,Go2Net Poland Sp. z o.o.,"Prypin, Jacek; Korczak, Ewelina",30/10/2014,FILED,
2014386736,Light weight molded roof tile with integrated solar capabilities,"EternaTile, Inc.","Bellavia, Carmen",25/07/2014,FILED,
2014900009,Solar panel racking array,Powerak Pty Ltd,"CAP, George Jaroslav",2/01/2014,LAPSED,
2014900145,"Continuous Lighting tube with a male connector at one end and female connector at the opposing end, the lighting tube will have a continues power supply from one end of the lighting tube to the other end enabling the coupling of two or more lighting tubes in series.",COMMERCIAL SOLAR GROUP PTY LTD,"Wilson, Darrell; Klein, Bradley",17/01/2014,LAPSED,
2014900172,Controllable Fast Acting High Duty Cycle Nitinol V4 with battery boiler and solar engine,"Li, Zhonghua Li MR","Li, Zhonghua Li",20/01/2014,LAPSED,
2014900183,"This is a system for illuminating the edge of a driveway or path, where the edge is not clearly visible when ambient light is low. The system is comprised of a solar panel and battery, along with a charging controller for the battery, and control circuitry for the lights, and a light strip and reflection/diffusion system.","Bird, WO1 Oliver Edwin","Bird, Oliver Edwin",21/01/2014,LAPSED,
2014900287,Solar Energy Collection Apparatus Incorporating Passive Tracking,Intex Holdings Pty Ltd,"Davies, Roger Philip",31/01/2014,LAPSED,
2014900334,A SOLAR LIGHTING SYSTEM,Ellumination Pty Ltd,"AZZOPARDI, Robert; AZZOPARDI, Michael",5/02/2014,LAPSED,
2014900380,Solar cell fabrication,The Australian National University,"Zin, Ngwe",7/02/2014,LAPSED,
2014900592,Roof sheeting adapted to accommodate solar panels,WEEKS HOLDINGS PTY LTD,"Weeks, Matthew",24/02/2014,LAPSED,
2014900630,METHOD OF FORMING A PHOTOACTIVE LAYER OF A PEROVSKITE SOLAR CELL,Commonwealth Scientific and Industrial Research Organisation,"Vak, Doojin",26/02/2014,LAPSED,
2014900765,Solar Panel Pole Mounting System,Ecocool Pty Ltd,"Myatt, Craig",6/03/2014,LAPSED,
2014900820,AN APPARATUS FOR COLLECTING SOLAR RADIATION,K-HART International Pty Ltd,"OBEYESEKERA, Bandu Ranjith Kumara; OBEYESEKERA, Tanya Garuthma",11/03/2014,LAPSED,
2014900848,Novel Solar Tracking System,SOLAR SURE PTY. LTD.,"Shaw, Ian",12/03/2014,LAPSED,
2014900910,Improved precipitation process for producing perovskite-based solar cells,Monash University,"Cheng, Yi-Bing; Bach, Udo; Spiccia, Leone; Huang, Fuzhi; Xiao, Manda",17/03/2014,LAPSED,
2014900948,SOLAR ENERGY CONCENTRATORS,"Yeomans, Allan James Mr","Yeomans, Allan James",18/03/2014,LAPSED,
2014901108,Apparatus and Method for Heliostat Support,VAST SOLAR PTY. LTD.,"Fisher, James",28/03/2014,LAPSED,
2014901204,A solar array assembly,Laing O'Rourke Australia Pty Ltd,"Lee, Peter Henry",3/04/2014,LAPSED,
2014901217,Method of designing a concentrated solar cavity receiver,Commonwealth Scientific and Industrial Research Organisation,"Burton, Alexander Ian; McNaughton, Robbie Kim",4/04/2014,LAPSED,
2014901371,Solar powered vehicle mounted flashing lights and arrow boards,AUTOCHANGE PTY LTD,"Wilson, Curtis",15/04/2014,LAPSED,
2014901479,Economical Solar Heater for Liquids,"Preda, Dorin MR","Preda, Dorin",23/04/2014,LAPSED,
2014901505,Pool Solar hot air injector,"WANLESS, SCOTT ROSS MR","WANLESS, SCOTT ROSS",25/04/2014,LAPSED,
2014901538,Solar and Battery Charged Insect Repeller,"Larkin, Garry John","Larkin, Garry John",29/04/2014,LAPSED,
2014901579,Gas-cooled concentrating solar collector,Sunoba Pty Ltd,"Barton, Noel Geoffrey",1/05/2014,LAPSED,
2014901814,SOLAR PANEL RACKING ARRAY,powerak Pty Ltd,"CAP, george; Fries, Bill",16/05/2014,LAPSED,
2014901965,Solar Concentrating Dish,"Cameron, Michael John, Vernon MR","Cameron, Michael John, Vernon",25/05/2014,LAPSED,
2014902022,Solar Power Limiter,"Devitt, Christopher MR","Devitt, Christopher",28/05/2014,LAPSED,
2014902224,Solar Fault Detect and Finder,"Davies, Kevin",Not Given,5/06/2014,LAPSED,
2014902230,Improvements in Capture and Re-use of Carbon Dioxide and use of Solar Energy,D U T PTY LTD,"Cummings, Donald Ray",12/06/2014,LAPSED,
2014902349,A Tilting Energy Harnessing Rig,Solar Sailor Pty Ltd,"Dane, Robert",19/06/2014,LAPSED,
2014902401,Green House Solar Panel,"Deroko, Darko MR","Deroko, Darko",24/06/2014,LAPSED,
2014902594,Hybrid Solar Collector,"Trihey, Albert Massey MR","Trihey, Albert Massey; Trihey, John Massey",6/07/2014,LAPSED,
2014902600,Hybrid Solar Collector 2,"Trihey, Albert Massey","Trihey, Albert Massey; Trihey, John Massey",6/07/2014,LAPSED,
2014902619,A fluid injection system,Heat Trap Solar Pty Ltd,Not Given,7/07/2014,LAPSED,
2014902705,Simulating a Solar Photovoltaic Cell,Solimpeks Australia Pty Ltd,"Ghani, Faisal",14/07/2014,LAPSED,
2014902741,APPARATUS AND SYSTEMS FOR SOLAR PUMPING AND WATER PURIFICATION,"Powell, Trevor","Powell, Trevor",16/07/2014,LAPSED,
2014902755,"Solaclad is a nanotechnology based solar energy system – opaque, translucent or transparent, surface applied or integral – suitable for a wide range of applications including all built environment surfaces.",SOLACLAD PTY LTD,"Fox, Michael",17/07/2014,LAPSED,
2014902998,"Energy storage sizing tool The 360Storage sizing tool is software device that is web based and does detailed analysis of inputs from an operator, and foundation assumptions which enables the definition of components required to perform the required outcomes defined by a customer for a suitable energy storage system using solar energy as the input energy source. It then provides analysis of the expected performance of that energy storage system based on irradiance levels of a point close to the customers location and a cost benefit analysis based on inputs from the customers electricity bill.",Solar360 Pty Ltd,"Anthony, Michael",4/08/2014,LAPSED,
2014903141,A PHOTOVOLTAIC SOLAR WATER HEATING SYSTEM,New England Solar Power Pty Ltd,Not Given,12/08/2014,LAPSED,
2014903178,Improved solar concentrator B,SOLAR SURE PTY. LTD.,"shaw, ian henry",14/08/2014,WITHDRAWN,
2014903203,A stroke length adjustable pump system and a multiplexed pump system for chemical injection,Solar Injection Australia,"Stent, Colin; Stent, Adam",18/08/2014,LAPSED,
2014903379,An Integral Collector-Storage Solar Water Heater and Associated Evaporation and Temperature Limiter,Sunspin Pty Ltd,"Suehrcke, Harry; Lowe, Rodney William",26/08/2014,LAPSED,
2014903384,ENERGY SUPPLY AND STORAGE SYSTEMS FOR USE WITH SOLAR ENERGY COLLECTING APPARATUS,"Yeomans, Allan James MR","Yeomans, Allan James",27/08/2014,LAPSED,
2014903494,Hybrid Solar Collector,"Trihey, Albert Massey","Trihey, Albert Massey; Trihey, John Massey",2/09/2014,LAPSED,
2014903669,SOLAR COLLECTORS,"Stanley, Rick MR","Stanley, Rick",15/09/2014,LAPSED,
2014903752,Opening Rigid Flat Panel Sail,Solar Sailor Pty Ltd,"Dane, Robert; Mathew, Ninan",19/09/2014,LAPSED,
2014903754,Solar Power System,Mabo Pty. Ltd.,"Tournier, Michael; Falvo, Tony",19/09/2014,LAPSED,
2014903938,HEAT ENERGY STORAGE METHOD AND APPARATUS FOR SOLAR ENERGY COLLECTING APPARATUS,"Yeomans, Allan James Mr","Yeomans, Allan James",2/10/2014,LAPSED,
2014903954,Solar Photovoltaic Array,5B AUSTRALIA PRT LIMITED,"Tehan, Eden; McGrath, Christopher",3/10/2014,LAPSED,
2014904077,Solar energy optimised air cooling systems,"Hastings, Ross","Hastings, Ross",13/10/2014,LAPSED,
2014904092,Solar Pack Shed,"Feldmann, Nharyan MR","Feldmann, Nharyan",14/10/2014,LAPSED,
2014904229,Solar Pedelec Tricycle Electric Vehicle.,"Brook, Sapoty MR","Brook, Sapoty",22/10/2014,LAPSED,
2014904638,SC - SPAA Solar Cell of Similar Particle Accelerator Architecture,"TANG, Richard Zhao Kun Mr","TANG, (Richard) Zhao Kun",14/11/2014,LAPSED,
2014904663,Solar thermal collector,"Patford, Laurie",Not Given,20/11/2014,LAPSED,
2014904711,MULTIPLE-EFFECT DISTILLATION APPARATUS AND SYSTEM,Solar Blue Innovations Pty Ltd,Not Given,21/11/2014,LAPSED,
2014904779,Solar tower structure and method of construction,"University of Technology, Sydney","Peterseim, Juergen Heinz Martin",26/11/2014,LAPSED,
2014905147,REFLECTOR ASSEMBLY FOR A SOLAR COLLECTOR,"POWELL, Trevor","POWELL, Trevor",19/12/2014,LAPSED,
2015100062,"Vast volumes of plastic and other floating trash are accumulating in various locations in our lakes, rivers and oceans. The inventor has conceived a method of solving the problem that involves Solar Powered Robotic Barges that perpetually travel between these trash gyres and trash processing ports. The concept includes Solar powering of the barges engines, controls, communications and auto pilot. The barge is completely automated. The barge is powered by Solar.This invention provides the base and housing for the Solar Energy Systems, Electric Propulsion Systems and Robotic Control systems.","Flatow, Wolfgang MR","Flatow, Wolfgang",21/01/2015,GRANTED,
2015100401,Solar Line Aviation Safety Light,The Trustee for FLORANCE FAMILY TRUST,"Florance, Jeffrey Alan",30/03/2015,CEASED,
2015100405,APPARATUS AND METHOD FOR HELIOSTAT SUPPORT,VAST SOLAR PTY LIMITED,"Fisher, James",30/03/2015,GRANTED,
2015100586,Inflatable solar powered lamp,"MPOWERD, Inc.","Snyder, Jason Alan",1/05/2015,CERTIFIED,
2015100825,"Solar powered, air operated automatic blowpipe for pest animal eradication. Using a 12v battery hooked up to a solar panel, it will dispense a blowpipe syringe of 1080 or PAPP remotely into a feral animal. The Sentinel is viewed from a control room through a FLIR camera mountedd on a tripod with 1m blowpipe.","Ryan, Patrick Joseph","Ryan, Patrick Joseph",19/06/2015,LAPSED,
2015100991,Solar conversion kit,KLICK Pty Ltd,"Doble, Simon; Marum, Colm",24/07/2015,GRANTED,
2015101110,AN ELECTRICITY DISTRIBUTION SYSTEM AND METHOD,Share My Solar Pty Ltd,"Kennedy, John Clare River Gerrard; Bunter, Adrian Maxwell",14/08/2015,CEASED,
2015101208,Floating flexible solar cells,"Macdonald, John Andrew MR","Macdonald, John Andrew",1/09/2015,GRANTED,
2015101242,SOLAR LAMP INTEGRATED WITH AUDIO PLAYBACK DEVICE,"ZHUHAI LINSHENG ELETRONICS TECHNOLOGY CO., LTD","Zhong, MENG",7/09/2015,GRANTED,
2015101355,A Solar Energy Supply Steel Pipe Weld Joint Polishing Device,"Yongkang City Limeng Machinery Co., Ltd","Meng, Gang",21/09/2015,GRANTED,
2015101397,"A solar-light at the top of a flagpole, which looks like a typical flagpole finial (top). The purpose is to light up the flag at night, using solar energy and a battery storage for power. The light and solar panel and battery are affixed to the top of the pole, in place of a usual finial (top). The solar panel is uppermost; the light is beneath the solar panel and shines downwards. The battery is inside the pole. The solar-light unit is of a shape similar to a typical flagpole finial (top).","Holliday, allan MR","Holliday, allan",25/09/2015,GRANTED,
2015101520,An Improved Structure of Motor Stator,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101521,A Worm Cavity Machining Auxiliary Device for A Worm Gear - Worm Case,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101522,A Motor Shell End Cover Positioning Structure,"Zhejiang Jinguang Solar Technology Co., Ltd.","DU, Shan",16/10/2015,GRANTED,
2015101523,A Connection Structure for Gearbox Transmission Shaft and Connecting Rod,"Zhejiang Jinguang Solar Technology Co., Ltd.","Shen, Tujun",16/10/2015,GRANTED,
